hip,name,ra_deg,dec_deg,mag
,Sol,0.000000,0.0,-26.70
122,The Oct,0.399240,-77.065724,4.78
154,30    Psc,0.490080,-6.014072,4.37
301,2    Cet,0.934950,-17.335988,4.55
355,3    Cet,1.125495,-10.509523,4.99
443,33    Psc,1.333920,-5.707618,4.61
677,Alpheratz,2.096865,29.090432,2.07
746,Caph,2.293305,59.14978,2.28
765,Eps Phe,2.352540,-45.747426,3.88
910,6    Cet,2.816085,-15.467977,4.89
1067,Algenib,3.308970,15.183596,2.83
1168,89Chi Peg,3.650670,20.206702,4.79
1170,7    Cet,3.660075,-18.932866,4.44
1366,24The And,4.272945,38.681636,4.61
1473,25Sig And,4.581945,36.785224,4.51
1562,8Iot Cet,4.856985,-8.823921,3.56
1599,Zet Tuc,5.012130,-64.874791,4.23
2021,Bet Hyi,6.418740,-77.254247,2.82
2072,Kap Phe,6.550740,-43.679829,3.93
2081,Ankaa,6.570840,-42.305981,2.40
2210,Eta Scl,6.982080,-33.007167,4.86
2472,Lam1Phe,7.853910,-48.803514,4.76
2484,Bet1Tuc,7.885875,-62.958218,4.36
2487,Bet2Tuc,7.889190,-62.965561,4.53
2505,14Lam Cas,7.943085,54.522289,4.74
2599,15Kap Cas,8.249955,62.931783,4.17
2912,29Pi  And,9.220200,33.719344,4.34
2920,Fulu,9.242820,53.896909,3.69
3031,30Eps And,9.639030,29.311751,4.34
3092,31Del And,9.831930,30.861024,3.27
3179,Schedar,10.126740,56.537331,2.24
3245,Mu  Phe,10.331490,-46.085007,4.59
3300,19Xi  Cas,10.516215,50.512526,4.80
3405,Eta Phe,10.838505,-57.46306,4.36
3414,20Pi  Cas,10.866990,47.024546,4.95
3419,Diphda,10.897350,-17.986605,2.04
3455,17Phi1Cet,11.047500,-10.60955,4.77
3504,22Omi Cas,11.181300,48.284364,4.48
3693,34Zet And,11.834715,24.267178,4.08
3786,63Del Psc,12.170595,7.585079,4.44
3801,25Nu  Cas,12.208380,50.968168,4.90
3821,Achird,12.273900,57.815187,3.46
3881,35Nu  And,12.453510,41.078911,4.53
4147,20    Cet,13.252065,-1.14426,4.78
4151,HIP4151,13.267665,61.12397,4.80
4292,26Ups1Cas,13.750725,58.972698,4.83
4422,Castula,14.166480,59.181056,4.62
4427,Cih,14.177145,60.71674,2.15
4436,37Mu  And,14.188275,38.499345,3.86
4463,38Eta And,14.301675,23.417648,4.40
4577,Alp Scl,14.651490,-29.357449,4.30
4906,71Eps Psc,15.735870,7.890135,4.27
5165,Bet Phe,16.521105,-46.718414,3.32
5348,Wurren,17.096130,-55.24576,3.94
5364,31Eta Cet,17.147460,-10.182264,3.46
5372,HIP5372,17.184195,86.25709,4.24
5434,42Phi And,17.375520,47.241792,4.26
5447,Mirach,17.432910,35.620558,2.07
5542,33The Cas,17.775255,55.149901,4.34
5571,84Chi Psc,17.863410,21.03465,4.66
5586,83Tau Psc,17.915130,30.089638,4.51
5742,85Phi Psc,18.437280,24.583713,4.67
5862,Nu  Phe,18.795645,-45.531664,4.97
5896,Kap Tuc,18.940560,-68.875927,4.25
6193,90Ups Psc,19.866645,27.264059,4.74
6242,34Phi Cas,20.020485,58.231611,4.95
6411,Adhil,20.585055,45.528778,4.87
6537,45The Cet,21.005850,-8.183257,3.60
6670,46    Cet,21.405135,-14.598796,4.90
6686,Ruchbah,21.453240,60.235283,2.66
6692,36Psi Cas,21.483120,68.130012,4.72
6813,48Ome And,21.913725,45.406687,4.83
6867,Gam Phe,22.091385,-43.318234,3.41
7007,98Mu  Psc,22.546305,6.14382,4.84
