code,catalog,messier,name,type,ra_deg,dec_deg,mag,const
IC0001,IC,,,Double Star,2.112708,27.717667,,Peg
IC0002,IC,,,Galaxy,2.753667,-12.822861,15.46,Cet
IC0003,IC,,,Galaxy,3.025375,-0.415222,14.78,Psc
IC0004,IC,,,Galaxy,3.362250,17.486444,14.14,Peg
IC0005,IC,,,Galaxy,4.395542,-9.543361,14.57,Cet
IC0006,IC,,,Galaxy,4.729333,-3.276083,14.57,Psc
IC0007,IC,,,Galaxy,4.721500,10.594694,14.63,Psc
IC0008,IC,,,Galaxy,4.761333,-3.222083,15.16,Psc
IC0009,IC,,,Galaxy,4.933250,-14.121889,15.41,Cet
IC0010,IC,,,Galaxy,5.072250,59.303778,10.35,Cas
IC0011,IC,,,Duplicate,13.247292,56.621889,,Cas
IC0012,IC,,,Galaxy,5.062708,-2.653111,15.08,Psc
IC0013,IC,,,Galaxy,5.083708,7.700500,14.93,Psc
IC0014,IC,,,Double Star,5.630375,10.490250,,Psc
IC0015,IC,,,Galaxy,6.989958,-0.061278,15.90,Cet
IC0016,IC,,,Galaxy,7.031875,-13.093917,15.15,Cet
IC0017,IC,,,Galaxy,7.124083,2.648611,14.77,Cet
IC0018,IC,,,Galaxy,7.145667,-11.586694,15.03,Cet
IC0019,IC,,,Galaxy,7.164500,-11.640778,15.15,Cet
IC0020,IC,,,Galaxy,7.165333,-13.010306,14.88,Cet
IC0021,IC,,,Galaxy,7.293458,-0.163778,15.54,Cet
IC0022,IC,,,Galaxy,7.388208,-9.080750,14.73,Cet
IC0023,IC,,,Galaxy,7.711667,-12.720250,15.05,Cet
IC0024,IC,,,Double Star,7.819292,30.839306,,And
IC0025,IC,,,Galaxy,7.800375,-0.407361,15.29,Cet
IC0026,IC,,,Duplicate,7.941417,-13.337472,,Cet
IC0027,IC,,,Galaxy,8.276000,-13.371500,15.82,Cet
IC0028,IC,,,Galaxy,8.286333,-13.456278,15.56,Cet
IC0029,IC,,,Galaxy,8.545000,-2.177639,15.79,Cet
IC0030,IC,,,Galaxy,8.561333,-2.084583,15.17,Cet
IC0031,IC,,,Galaxy,8.602625,12.268167,15.62,Psc
IC0032,IC,,,Galaxy,8.757042,-2.141694,16.15,Cet
IC0033,IC,,,Galaxy,8.771500,-2.137694,15.29,Cet
IC0034,IC,,,Galaxy,8.901750,9.124250,13.77,Psc
IC0035,IC,,,Galaxy,9.416167,10.357972,14.96,Psc
IC0036,IC,,,Galaxy,9.456875,-15.441278,15.54,Cet
IC0037,IC,,,Galaxy,9.642417,-15.358694,16.23,Cet
IC0038,IC,,,Galaxy,9.661500,-15.419833,15.02,Cet
IC0039,IC,,,Duplicate,9.785000,-14.172833,,Cet
IC0040,IC,,,Galaxy,9.839167,2.456222,15.04,Cet
IC0041,IC,,,Galaxy,9.918208,-14.174333,15.20,Cet
IC0042,IC,,,Galaxy,10.274333,-15.428083,15.38,Cet
IC0043,IC,,,Galaxy,10.591917,29.641639,13.25,And
IC0044,IC,,,Duplicate,10.566167,0.845500,,Cet
IC0045,IC,,,Other,10.651417,29.655250,,And
IC0046,IC,,,Galaxy,10.741542,27.253472,14.28,And
IC0047,IC,,,Galaxy,10.729208,-13.740722,16.09,Cet
IC0048,IC,,,Galaxy,10.893625,-8.186500,13.16,Cet
IC0049,IC,,,Galaxy,10.983875,1.850278,13.78,Cet
IC0050,IC,,,Galaxy,11.523792,-9.503000,14.74,Cet
IC0051,IC,,,Galaxy,11.600917,-13.442361,13.75,Cet
IC0052,IC,,,Galaxy,12.099083,4.091861,15.31,Psc
IC0053,IC,,,Galaxy,12.669875,10.600278,15.33,Psc
IC0054,IC,,,Double Star,12.695208,-2.287778,,Cet
IC0055,IC,,,Galaxy,12.926625,7.718528,15.01,Psc
IC0056,IC,,,Galaxy,12.874750,-12.844306,15.14,Cet
IC0057,IC,,,Galaxy,13.702083,11.841194,15.48,Psc
IC0058,IC,,,Galaxy,13.760167,-13.678083,15.51,Cet
IC0059,IC,,,Reflection Nebula,14.369208,61.143667,,Cas
IC0060,IC,,,Galaxy,14.017625,-13.357917,15.75,Cet
IC0061,IC,,,Galaxy,14.280000,7.507083,15.23,Psc
IC0062,IC,,,Galaxy,14.683083,11.808000,14.97,Psc
IC0063,IC,,,HII Region,14.870167,60.911694,13.33,Cas
IC0064,IC,,,Galaxy,14.851750,27.059056,13.96,Psc
IC0065,IC,,,Galaxy,15.230917,47.681972,13.60,And
IC0066,IC,,,Galaxy,15.135417,30.797222,14.10,Psc
IC0067,IC,,,Non-Existent,15.073583,-6.910750,,Cet
IC0068,IC,,,Non-Existent,15.090208,-6.944111,,Cet
IC0069,IC,,,Galaxy,15.348583,31.040833,14.65,Psc
IC0070,IC,,,Galaxy,15.266458,0.050750,16.77,Cet
IC0071,IC,,,Star,15.330250,-6.767167,,Cet
IC0072,IC,,,Star,15.394625,-6.777944,,Cet
IC0073,IC,,,Galaxy,16.220625,4.767139,15.38,Psc
IC0074,IC,,,Galaxy,16.483125,4.090250,15.59,Psc
IC0075,IC,,,Galaxy,16.798375,10.836889,14.98,Psc
IC0076,IC,,,Galaxy,17.048792,-4.554500,15.44,Cet
IC0077,IC,,,Galaxy,17.182292,-15.420917,15.04,Cet
IC0078,IC,,,Galaxy,17.198750,-15.845083,15.24,Cet
IC0079,IC,,,Galaxy,17.207125,-15.948583,14.93,Cet
IC0080,IC,,,GPair,17.212083,-15.407500,,Cet
IC0080 NED01,IC,,,Galaxy,17.211250,-15.408944,14.83,Cet
IC0080 NED02,IC,,,Galaxy,17.213042,-15.406306,12.90,Cet
IC0081,IC,,,Galaxy,17.342750,-1.695861,14.53,Cet
IC0082,IC,,,Galaxy,17.274125,-16.000306,14.85,Cet
IC0083,IC,,,Galaxy,17.624083,1.689361,15.16,Cet
IC0084,IC,,,Galaxy,17.856667,1.640194,15.21,Cet
IC0085,IC,,,Star,17.956458,-0.452472,,Cet
IC0086,IC,,,Galaxy,18.368833,-16.241667,15.31,Cet
IC0087,IC,,,Galaxy,18.565792,0.765333,15.37,Cet
IC0088,IC,,,Galaxy,18.630417,0.791750,18.07,Cet
IC0089,IC,,,Duplicate,19.015042,4.294111,,Psc
IC0090,IC,,,Galaxy,19.126458,-7.977139,14.85,Cet
IC0091,IC,,,Galaxy,19.664292,2.553667,16.48,Cet
